"crun","currID","force"
131,"123397569","FORCE_46.21875_-89.15625"
132,"70330157","FORCE_46.21875_-89.28125"
133,"70331807","FORCE_45.96875_-89.53125"
134,"70333889","FORCE_45.78125_-89.71875"
135,"70331701","FORCE_45.96875_-89.40625"
136,"70331045","FORCE_46.03125_-89.53125"
137,"70330657","FORCE_46.09375_-89.34375"
138,"69886404","FORCE_46.03125_-89.96875"
139,"70330369","FORCE_46.15625_-89.28125"
140,"70335065","FORCE_45.71875_-89.59375"
141,"70333187","FORCE_45.84375_-89.65625"
142,"69885072","FORCE_46.15625_-90.09375"
143,"69886736","FORCE_46.03125_-89.90625"
144,"69884044","FORCE_46.21875_-90.15625"
145,"77358094","FORCE_45.90625_-89.96875"
146,"70331747","FORCE_45.96875_-89.46875"
147,"70333403","FORCE_45.78125_-89.03125"
148,"123147861","FORCE_46.28125_-89.78125"
149,"123148173","FORCE_46.21875_-89.65625"
150,"69883688","FORCE_46.28125_-89.96875"
151,"69884376","FORCE_46.21875_-90.03125"
152,"123396932","FORCE_46.28125_-89.34375"
153,"69885404","FORCE_46.09375_-89.59375"
154,"70333565","FORCE_45.78125_-89.59375"
155,"70332135","FORCE_45.90625_-89.40625"
156,"69884282","FORCE_46.21875_-90.09375"
157,"JAZ_241","FORCE_45.65625_-89.40625"
158,"123397877","FORCE_46.21875_-89.46875"
159,"69884298","FORCE_46.21875_-90.03125"
160,"69884138","FORCE_46.21875_-89.84375"
161,"70334133","FORCE_45.71875_-89.34375"
162,"123148200","FORCE_46.21875_-89.78125"
163,"70330491","FORCE_46.15625_-89.21875"
164,"77358432","FORCE_45.84375_-89.96875"
165,"123397860","FORCE_46.21875_-89.46875"
166,"70331481","FORCE_45.96875_-89.46875"
167,"69883712","FORCE_46.28125_-89.96875"
168,"JAZ_177","FORCE_45.84375_-89.28125"
169,"70336207","FORCE_45.59375_-89.40625"
170,"75473069","FORCE_45.96875_-88.90625"
171,"123148119","FORCE_46.21875_-89.53125"
172,"70334729","FORCE_45.71875_-89.40625"
173,"70330771","FORCE_46.03125_-89.09375"
174,"69884848","FORCE_46.15625_-89.53125"
175,"70334827","FORCE_45.71875_-89.59375"
176,"123147952","FORCE_46.28125_-89.84375"
177,"123398111","FORCE_46.15625_-89.34375"
178,"69884916","FORCE_46.15625_-89.65625"
179,"123398168","FORCE_46.15625_-89.46875"
180,"69885818","FORCE_46.09375_-89.53125"
181,"70330407","FORCE_46.15625_-89.28125"
182,"70330497","FORCE_46.15625_-89.21875"
183,"69887044","FORCE_45.90625_-89.84375"
184,"123397597","FORCE_46.21875_-89.28125"
185,"70332167","FORCE_45.90625_-89.34375"
186,"70334353","FORCE_45.71875_-89.15625"
187,"70332601","FORCE_45.84375_-89.34375"
188,"123397200","FORCE_46.21875_-89.21875"
189,"123148025","FORCE_46.28125_-89.59375"
190,"69886310","FORCE_46.03125_-89.71875"
191,"69884334","FORCE_46.15625_-89.71875"
192,"70331815","FORCE_45.96875_-89.40625"
193,"69884918","FORCE_46.15625_-89.90625"
194,"123397549","FORCE_46.21875_-89.46875"
195,"70333219","FORCE_45.84375_-89.34375"
196,"69884084","FORCE_46.21875_-90.03125"
197,"69884654","FORCE_46.15625_-90.09375"
198,"123396705","FORCE_46.28125_-89.40625"
199,"70331777","FORCE_45.96875_-89.34375"
200,"75473289","FORCE_45.90625_-88.90625"
201,"70330551","FORCE_46.09375_-89.09375"
202,"70335205","FORCE_45.65625_-89.46875"
203,"70335615","FORCE_45.65625_-89.21875"
204,"70332479","FORCE_45.90625_-89.71875"
205,"70330919","FORCE_46.03125_-89.09375"
206,"75473661","FORCE_45.90625_-88.96875"
207,"123397293","FORCE_46.21875_-89.28125"
208,"77358050","FORCE_45.90625_-90.15625"
209,"69885824","FORCE_46.09375_-89.78125"
210,"69885192","FORCE_46.09375_-89.53125"
211,"70334149","FORCE_45.71875_-89.09375"
212,"111861485","FORCE_46.03125_-88.96875"
213,"123397792","FORCE_46.21875_-89.34375"
214,"70330649","FORCE_46.09375_-89.09375"
215,"123397482","FORCE_46.21875_-89.21875"
216,"70333869","FORCE_45.78125_-89.34375"
217,"123396740","FORCE_46.28125_-89.28125"
218,"69886540","FORCE_46.03125_-89.78125"
219,"69886858","FORCE_45.96875_-89.78125"
220,"70336057","FORCE_45.59375_-89.46875"
221,"69884626","FORCE_46.15625_-89.96875"
222,"70333191","FORCE_45.84375_-89.59375"
223,"123148215","FORCE_46.21875_-89.71875"
224,"123148272","FORCE_46.15625_-89.78125"
