crun,currID
627,123397307
628,70332315
629,123148057
630,69884114
631,70332095
632,69884052
633,70335893
634,JAZ_11
635,123147843
636,69885274
637,69885856
638,77358080
639,69885016
640,JAZ_90
641,70336289
642,111861763
643,70335943
644,123397521
645,123397135
646,123397628
647,69886648
648,70332819
649,70335969
650,JAZ_194
651,70333057
652,69885346
653,123397527
654,70335747
655,123398108
656,69884192
657,70333139
658,70336099
659,123396964
660,123148145
661,123148268
662,123148130
663,70330397
664,69886584
665,70331707
666,70334723
667,70335815
668,70333269
669,123397304
670,123397543
671,70334771
672,JAZ_199
673,123397387
674,70334285
675,70334409
676,70334587
677,123397787
678,70335967
679,70331319
680,70335771
681,JAZ_262
682,70331605
683,69886428
684,70336247
685,70330155
686,123147876
687,69884440
688,70330963
689,123398005
690,70333737
691,123148276
692,123148000
693,69885454
694,123397046
695,77357668
696,123397750
697,69883670
698,69883668
699,123148101
700,77357676
701,JAZ_100
702,69884732
703,69883754
704,69884154
705,70330495
706,123398025
707,69885188
708,123397524
709,69884008
710,70330557
711,70332747
712,JAZ_32
713,JAZ_64
714,JAZ_7
715,70330227
716,70331625
717,69886320
718,69886726
719,123147955
720,77357634
721,70332805
722,70336073
723,70334237
724,70332559
725,123397454
726,69886766
727,70332109
728,70334781
729,77357836
730,70334909
731,70335989
732,70336307
733,70332801
734,69884156
735,69886498
736,77357622
737,75473371
738,70331211
739,123397324
740,123147965
741,123397337
742,70333413
743,70335757
744,JAZ_245
745,70333595
746,70332591
747,69884288
748,123398233
749,69883802
750,70330327
751,70333137
752,70334125
753,70331247
754,69885762
755,70330253
756,123397132
757,70336205
758,70335719
759,123148014
760,70330953
761,70335313
762,69885334
763,70334617
764,70332835
765,123398128
766,69886438
767,70330149
768,JAZ_124
769,123397689
770,69884868
771,70331691
772,69886108
773,69886040
774,70330323
775,70331717
776,123398003
777,69884046
778,70331723
779,70331389
780,77358144
781,69883702
782,69883852
783,75473143
784,69886758
785,69885626
786,70333923
787,70330851
788,69884850
789,69886650
790,69884522
791,70332543
792,69886418
793,69886812
794,69886158
795,70333499
796,111861471
797,70330193
798,70335121
799,69885902
800,70330729
801,70331465
802,70334345
803,69886124
804,70335395
805,70331153
806,70334509
807,70331401
808,123148024
809,JAZ_184
810,69884714
811,69887126
812,70330473
813,69885400
814,69884582
815,70333239
816,70334671
817,JAZ_42
818,70332587
819,70335813
820,123396836
821,77357870
822,70330843
823,70335019
824,JAZ_37
825,70334197
826,69885332
827,70333959
828,70332159
829,77358174
830,77358092
831,69883750
832,69885874
833,70333681
834,70335387
835,70335327
836,70330967
837,69883860
838,70331531
839,75474113
840,70330547
841,JAZ_236
842,69886096
843,69886014
844,70332741
845,70331399
846,70330269
847,70334451
848,69883728
849,70333727
850,JAZ_99
851,70330583
852,69884686
853,70334995
854,69886740
855,69885518
856,123147942
857,70331883
858,69884206
859,JAZ_112
860,70330421
861,70330161
862,70334913
863,123397493
864,70335325
865,JAZ_259
866,123148223
867,70331877
868,123147997
869,70331197
870,70331031
871,70335141
872,69885796
873,70333263
874,70332051
875,70333991
876,70331609
877,69884650
878,123397611
879,69884322
880,JAZ_16
881,69885498
882,70331601
883,JAZ_147
884,70330303
885,70334271
886,69885560
887,70335845
888,JAZ_55
889,123397667
890,70334423
891,123147867
892,70332307
893,123397459
894,69884246
895,JAZ_256
896,70330819
897,70331615
898,70335733
899,70333279
900,123148148
901,70331567
902,69883840
903,70331085
904,77357726
905,123397989
906,75473675
907,69884540
908,JAZ_91
909,70333435
910,70333653
911,69884244
912,70331427
913,123398085
914,69883706
915,70333471
916,69884974
917,77357814
918,123397276
919,69884770
920,70333433
921,JAZ_9
922,70332737
923,70332813
924,77358036
925,69884050
926,70330975
927,70334199
928,69886338
929,123397262
930,69887030
931,70335675
932,69886454
933,70333409
934,69886024
935,70333591
936,70332893
937,69885638
938,70332103
939,70331929
940,70333659
941,70331811
942,70333223
943,69885020
944,70335681
945,69884556
946,70331611
947,70330455
948,70332899
949,70332173
950,70336021
951,69886180
952,123148182
953,77357656
954,77357796
955,70334927
956,70330163
957,120020867
958,69887042
959,123148155
960,69884400
961,123398278
962,70330419
963,70334115
964,123148189
965,70336135
966,69884758
967,70332759
968,77358142
969,70331561
970,70332631
971,JAZ_44
972,70331097
973,70330229
974,75473051
975,77357932
976,70333009
977,123148028
978,123397801
979,70331851
980,123398227
981,70331109
982,70335881
983,70331751
984,70331931
985,69886672
986,70332319
987,70336031
988,70334231
989,69886228
990,70331339
991,123398122
992,69886816
993,70331831
994,JAZ_17
995,70334793
996,123397479
997,69884166
998,70336007
999,70332015
1000,70334039
1001,69886824
1002,69886732
1003,69885098
1004,70335179
1005,123147931
1006,JAZ_30
1007,70335349
1008,69884178
1009,70331673
1010,JAZ_170
1011,70335359
1012,70334535
1013,70331661
1014,ZJH_2
1015,70332359
1016,70331771
1017,70333389
1018,69886354
1019,123147853
1020,123397645
1021,75473343
1022,69886176
1023,70334283
1024,123398071
1025,69886384
1026,JAZ_118
1027,70335653
1028,123148113
1029,70333531
1030,69885210
1031,123148005
1032,123397356
1033,70333883
1034,70331415
1035,123397955
1036,70330209
1037,70331477
1038,70334021
1039,69886110
1040,70331951
1041,69884380
1042,70331887
1043,70335173
1044,70332415
1045,70332317
1046,70330511
1047,69885728
1048,70334381
1049,69885124
1050,77357944
1051,70334299
1052,70334875
1053,70332221
1054,69885998
1055,70334371
1056,69884752
1057,70331907
1058,70336385
1059,123147869
1060,70330263
1061,123397829
1062,70333115
1063,70330151
1064,70330991
1065,JAZ_220
1066,70330413
1067,77358030
1068,123397426
1069,69885088
1070,70334111
1071,70331737
1072,70330401
1073,70335705
1074,70335963
1075,70331829
1076,69883610
1077,70330479
1078,69883854
1079,73028697
1080,70334221
1081,70333639
1082,70336177
1083,123397225
1084,JAZ_92
1085,70332483
1086,69884174
1087,69884452
1088,70331761
1089,70330587
1090,70333491
1091,69885632
1092,69887056
1093,70333905
1094,70330485
1095,70330993
1096,69883954
1097,69884108
1098,70330663
1099,123148061
1100,70330725
1101,69885828
1102,123148251
1103,69885230
1104,70333493
1105,123397781
1106,69883836
1107,69884726
1108,77357696
1109,123148232
1110,70333541
1111,70333911
1112,70332237
1113,123397742
1114,70330299
1115,70331967
1116,70334063
1117,69885982
1118,70330295
1119,69886574
1120,69883720
1121,123397726
1122,123397101
1123,77357632
1124,123147934
1125,123148151
1126,70335297
1127,70332947
1128,69883786
1129,70335291
1130,70334499
1131,123147821
1132,123147875
1133,69884290
1134,70335145
1135,70330661
1136,69884066
1137,70330313
1138,70332609
1139,70332397
1140,70330745
1141,69883704
1142,70332169
1143,69886282
1144,123397048
1145,70331039
1146,123398077
1147,123397456
1148,70333325
1149,JAZ_135
1150,111861135
1151,123148002
1152,69884508
1153,123398222
1154,70330337
1155,69883830
1156,70331775
1157,69884330
1158,70334001
1159,123398116
1160,70332269
1161,123397731
1162,70334171
1163,69884140
1164,70330765
1165,77358024
1166,123397617
1167,123397334
1168,70335269
1169,69886136
1170,70334069
1171,70335927
1172,69886946
1173,70331329
1174,70332785
1175,69883686
1176,123397723
1177,69885036
1178,70331113
1179,70331367
1180,70332723
1181,70333987
1182,69883760
1183,77358222
1184,69883938
1185,70330655
1186,JAZ_69
1187,70333419
1188,JAZ_203
1189,70333715
1190,70332645
1191,70334307
1192,123397868
1193,70332063
1194,69886708
1195,JAZ_242
1196,123398031
1197,JAZ_139
1198,JAZ_40
1199,70334621
1200,123397287
1201,70333979
1202,123397762
1203,69886200
1204,77358262
1205,70331129
1206,70335599
1207,69885956
1208,JAZ_56
1209,70332585
1210,77358360
1211,70331445
1212,70334449
1213,70331417
1214,70334599
1215,123148274
1216,69884678
1217,70332357
1218,123148133
1219,70332521
1220,77357826
1221,123397972
1222,70334247
1223,JAZ_211
1224,70330395
1225,70332771
1226,69886580
1227,69886546
1228,70333965
1229,69884644
1230,70332223
1231,70333431
1232,70336267
1233,70330683
1234,70332597
1235,123148234
1236,123397580
1237,69883758
1238,JAZ_252
1239,JAZ_25
1240,70331147
1241,69884270
1242,69884832
1243,69884740
1244,69886550
1245,69887060
1246,69886572
1247,70330569
1248,70331459
1249,70333679
1250,69885212
1251,70330673
1252,70334611
1253,69886324
1254,70331695
1255,70335935
1256,70334919
1257,JAZ_72
1258,123147844
1259,70336243
1260,69885826
1261,JAZ_82
1262,69884994
1263,70332187
1264,70333313
1265,JAZ_62
1266,69883940
1267,70332385
1268,70332617
1269,77357650
1270,70332025
1271,77357936
1272,69887028
1273,111861715
1274,123397032
1275,69886490
1276,123148201
1277,70332211
1278,70333529
1279,123397994
1280,JAZ_189
1281,123397946
1282,70332821
1283,123397784
1284,70330705
1285,69885704
1286,70334633
1287,123147911
1288,69884984
1289,70333587
1290,70336337
1291,JAZ_23
1292,JAZ_205
1293,70336039
1294,69885964
1295,69885120
1296,JAZ_80
1297,70331469
1298,123148237
1299,70331569
1300,70334625
1301,69884134
1302,70330169
1303,77357926
1304,70333331
1305,JAZ_260
1306,69884306
1307,70333933
1308,JAZ_53
1309,ZJH_6
1310,70331123
1311,70330685
1312,70330159
1313,70335693
1314,123147880
1315,77357794
1316,JAZ_187
1317,70334453
1318,69884880
1319,70331643
1320,70334959
1321,77357948
1322,69883732
1323,123148256
1324,69884504
1325,70336387
1326,123397296
1327,70333481
1328,70335949
1329,70332485
1330,70331193
1331,70334365
1332,69886876
1333,69884950
1334,70332455
1335,69883770
1336,69886436
1337,123397748
1338,70334805
1339,69885858
1340,JAZ_162
1341,123147835
1342,69883818
1343,70332351
1344,123397767
1345,70332863
1346,75473385
1347,70331793
1348,69884312
1349,69886604
1350,123397831
1351,75473645
1352,70334749
1353,69884750
1354,70332773
1355,70334421
1356,111861813
1357,69886526
1358,70331429
1359,69886776
1360,JAZ_129
1361,70332989
1362,70334315
1363,70333509
1364,70333801
1365,69884736
1366,69886000
1367,JAZ_161
1368,70333879
1369,123148050
1370,69884228
1371,70331479
1372,69885662
1373,70334107
1374,75473073
1375,70330859
1376,70332823
1377,70332033
1378,77357644
1379,70333441
1380,77358316
1381,69884194
1382,70333169
1383,70332407
1384,70333507
1385,70335461
1386,70332467
1387,70332753
1388,123148213
1389,70332069
1390,70330529
1391,123148062
1392,JAZ_137
1393,123148065
1394,123397916
1395,70332537
1396,123148180
1397,69885008
1398,70333505
1399,69884692
1400,70335285
1401,69886214
1402,70334295
1403,69886184
1404,123397770
1405,69883890
1406,69884816
1407,70331027
1408,77357774
1409,JAZ_83
1410,70333527
1411,123397183
1412,JAZ_133
1413,70330803
1414,70332775
1415,123148239
1416,70330549
1417,70332639
1418,69883746
1419,JAZ_31
1420,70334241
1421,70332997
1422,69884700
1423,70331091
1424,123147848
1425,123148144
1426,123147940
1427,70335337
1428,123147820
1429,69885942
1430,123148260
1431,70335731
1432,123397107
1433,JAZ_122
1434,123398020
1435,70332171
1436,123397434
1437,123147855
1438,123147929
1439,69885258
1440,70333709
1441,123147936
1442,123397529
1443,123397795
1444,70336211
1445,123148136
1446,70332525
1447,JAZ_192
1448,70332497
1449,123398119
1450,77357626
1451,70332687
1452,123397888
1453,77357830
1454,69884394
1455,123398247
1456,JAZ_52
1457,69885928
1458,69884494
1459,70332427
1460,70333411
1461,69883782
1462,77357716
1463,123147960
1464,70331839
1465,69884738
1466,70334187
1467,70336065
1468,70332599
1469,77357708
1470,77358200
1471,77358112
1472,JAZ_186
1473,70331421
1474,69886612
1475,70333551
1476,69885242
1477,69885364
1478,70333523
1479,69884180
1480,JAZ_2
1481,JAZ_86
1482,70336053
1483,69886756
1484,123148258
1485,70336283
1486,70331275
1487,69884776
1488,69884216
1489,70335579
1490,70334137
1491,70331515
1492,123397937
1493,70332607
1494,70335597
1495,111861631
1496,69884058
1497,70333109
1498,JAZ_251
1499,JAZ_71
1500,70333095
1501,123148171
1502,70334497
1503,77357994
1504,70331659
1505,70331859
1506,70331607
1507,JAZ_152
1508,70333511
1509,69885286
1510,70333667
1511,69885256
1512,69885986
1513,70333353
1514,70334369
1515,70331533
1516,77357748
1517,70332381
1518,69883866
1519,70331121
1520,70332443
1521,123397588
1522,70330347
1523,73028649
1524,123398028
1525,70331683
1526,123147954
1527,70330331
1528,70334151
1529,70331205
1530,70330719
1531,77357846
1532,70336251
1533,123148146
1534,123397622
1535,70334037
1536,70335419
1537,123397282
1538,70331915
1539,70331689
1540,70332437
1541,70333881
1542,ZJH_3
1543,70334359
1544,69885444
1545,77357738
1546,69884900
1547,69884000
1548,70334839
1549,77357874
1550,69885366
1551,69883846
1552,70331917
1553,77357776
1554,70330239
1555,123148118
1556,69883984
1557,69885892
1558,70331827
1559,69886552
1560,70333635
1561,JAZ_234
1562,69885706
1563,123148141
1564,70331253
1565,69887020
1566,JAZ_21
1567,70330639
1568,70334487
1569,70335123
1570,69883640
1571,123397639
1572,70330525
1573,69885354
1574,77358146
1575,69886692
1576,123148278
1577,123398210
1578,70330515
1579,69886190
1580,70333569
1581,75473625
1582,70333957
1583,69884724
1584,69883838
1585,69886768
1586,123398205
1587,70332495
1588,123148139
1589,70334189
1590,77358098
1591,69884640
1592,69886462
1593,70335847
1594,70330219
1595,123147994
1596,69884492
1597,70333447
1598,70335713
1599,70335799
1600,123148131
1601,70330905
1602,69886372
1603,123397809
1604,70332249
1605,70334007
1606,123397574
1607,69885972
1608,69887094
1609,69884986
1610,70330235
1611,123147974
1612,69886862
1613,70330773
1614,70334437
1615,70334745
1616,69883820
1617,70332445
1618,123148277
1619,70331447
1620,69884446
1621,69884470
1622,JAZ_224
1623,70331255
1624,69884168
1625,69884196
1626,70330669
1627,111861461
1628,123398250
1629,70333753
1630,70330831
1631,JAZ_132
1632,69884184
1633,69884484
1634,69885070
1635,69886340
1636,70334661
1637,70334703
1638,70335007
1639,70335991
1640,111861499
1641,69886188
1642,70335617
1643,75473193
1644,123397415
1645,70331385
1646,70330589
1647,70336285
1648,77357758
1649,70333011
1650,69884454
1651,70333657
1652,123397532
1653,70330797
1654,69886154
1655,69884530
1656,70333421
1657,123147818
1658,123397403
1659,69884304
1660,77358058
1661,70334379
1662,69884384
1663,69885620
1664,70335751
1665,123147925
1666,70331353
1667,69886360
1668,123397065
1669,123398242
1670,70330945
1671,70335961
1672,123397040
1673,123397975
1674,69886902
1675,70331879
1676,70331603
1677,70332679
1678,77357646
1679,69887106
1680,69886304
1681,123147939
1682,69886592
1683,70330425
1684,70334073
1685,69886210
1686,69884274
1687,70330887
1688,123147883
1689,70330999
1690,70331523
1691,69883796
1692,123397577
1693,70331075
1694,JAZ_164
1695,77357780
1696,123148212
1697,69886826
1698,70332793
1699,123398000
1700,69884804
1701,123148233
1702,123397678
1703,69884064
1704,70333293
1705,70331219
1706,70331101
1707,70331889
1708,70330507
1709,123398276
1710,123397112
1711,70334009
1712,77358122
1713,70333213
1714,123148198
1715,69884106
1716,69884268
1717,123397778
1718,70332207
1719,123397931
1720,70333007
1721,70333259
1722,77357628
1723,JAZ_10
1724,69886578
1725,70331411
1726,70332441
1727,70335193
1728,123397648
1729,69886484
1730,70330267
1731,123147924
1732,75473191
1733,69883978
1734,69886302
1735,70335185
1736,69884438
1737,70332123
1738,70332377
1739,69886918
1740,70332367
1741,123398034
1742,70332093
1743,70330231
1744,69883666
1745,123148210
1746,111861053
1747,69886646
1748,123397845
1749,70330499
1750,70332803
1751,69886524
1752,69885136
1753,JAZ_115
1754,123397310
1755,69884378
1756,69886568
1757,69886470
1758,70332391
1759,123397121
1760,123147885
1761,69884424
1762,123398065
1763,70332113
1764,123148082
1765,123396896
1766,69883614
1767,69884794
1768,69883630
1769,70330959
1770,77357732
1771,70331881
1772,70330895
1773,69885410
1774,70333211
1775,70331063
1776,70335335
1777,123147851
1778,123147905
1779,70334355
1780,70335677
1781,70330713
1782,70335999
1783,69884656
1784,JAZ_193
1785,69884496
1786,70330833
1787,70333849
1788,69886018
1789,70333739
1790,JAZ_20
1791,70336109
1792,69883808
1793,70332915
1794,123148221
1795,70330637
1796,69885392
1797,123397496
1798,70334575
1799,70331359
1800,70333705
1801,111861399
1802,70331781
1803,70336139
1804,75473587
1805,69885866
1806,70331407
1807,123148229
1808,70333643
1809,70336305
1810,123148044
1811,70330969
1812,70332203
1813,70332655
1814,123397471
1815,69886818
1816,123147999
1817,70332285
1818,JAZ_167
1819,70331939
1820,69885128
1821,70334085
1822,69884164
1823,77357840
1824,69885534
1825,70333735
1826,70336049
1827,70333951
1828,70335351
1829,123398088
1830,123147840
1831,70330399
1832,70331493
1833,70331007
1834,123148158
1835,70335275
1836,70333663
1837,69884564
1838,70330265
1839,69885820
1840,70336035
1841,123397599
1842,70333719
1843,123397237
1844,70334245
1845,70331989
1846,70334907
1847,123147989
1848,69884962
1849,70330781
1850,70335157
1851,70331285
1852,70333429
1853,70331283
1854,70331143
1855,123397803
1856,69885550
1857,70333077
1858,123397504
1859,70331379
1860,70332037
1861,70333677
1862,70331741
1863,70332255
1864,70332291
1865,69886910
1866,70330451
1867,70332323
1868,JAZ_108
1869,123148207
1870,69885028
1871,70330849
1872,70330733
1873,70332675
1874,69886952
1875,123397753
1876,123398182
1877,70331731
1878,123147832
1879,70334549
1880,77357880
1881,69886762
1882,69884234
1883,69885252
1884,69886554
1885,70335365
1886,70330385
1887,69886244
1888,123148197
1889,69885294
1890,JAZ_246
1891,123148190
1892,70330245
1893,70330523
1894,123396850
1895,69886602
1896,123397914
1897,70330961
1898,69885846
1899,123148042
1900,77357896
1901,69885458
1902,123147988
1903,70333415
1904,123148159
1905,123397798
1906,70334937
1907,69885666
1908,123397367
1909,123397681
1910,69883676
1911,70330349
1912,70331107
1913,70332991
1914,77357790
1915,77357858
1916,69884840
1917,70332473
1918,69885052
1919,70330763
1920,77357916
1921,70330293
1922,70336019
1923,123397919
1924,70332871
1925,69884072
1926,69885154
1927,77357882
1928,123147968
1929,69884116
1930,69886032
1931,70331867
1932,123397510
1933,70333043
1934,123147803
1935,70332149
1936,123397443
1937,123147900
1938,70335825
1939,77357982
1940,69886856
1941,70333633
1942,70334647
1943,70338361
1944,123148176
1945,70333205
1946,77358136
1947,70332957
1948,69886644
1949,70334163
1950,70335383
1951,77358084
1952,70333255
1953,123147985
1954,69883896
1955,69884342
1956,75473409
1957,69886734
1958,JAZ_61
1959,70331653
1960,69885064
1961,70335755
1962,69883708
1963,JAZ_233
1964,69884628
1965,123397499
1966,70332163
1967,JAZ_96
1968,69884408
1969,70332593
1970,69884600
1971,77357786
1972,77357670
1973,69886202
1974,70333437
1975,69885654
1976,123397546
1977,70336027
1978,70333383
1979,JAZ_253
1980,69885130
1981,77357972
1982,JAZ_22
1983,JAZ_176
1984,70335075
1985,70331657
1986,123147963
1987,69885960
1988,70330241
1989,JAZ_206
1990,70333673
1991,69885158
1992,70334025
1993,123397880
1994,69885830
1995,JAZ_222
1996,111861455
1997,70333903
1998,70335319
1999,77357788
2000,70332623
2001,70333081
2002,70331351
2003,123148018
2004,77357864
2005,69885544
2006,70334639
2007,123148088
2008,70335485
2009,123148043
2010,70335887
2011,70333195
2012,69886886
2013,JAZ_146
2014,70332021
2015,70334405
2016,70335333
2017,70330759
2018,69886688
2019,70330595
2020,70335529
2021,JAZ_154
2022,70330301
2023,123147943
2024,70333273
2025,70331629
2026,70334179
2027,75473411
2028,70332825
2029,69883736
2030,70335371
2031,69886374
2032,123148168
2033,70333891
2034,69883998
2035,70335497
2036,70335629
2037,70334057
2038,70332395
2039,70332097
2040,70331981
2041,123148170
2042,69885322
2043,69885428
2044,JAZ_144
2045,70330153
2046,JAZ_74
2047,70332337
2048,70333247
2049,123398043
2050,70332045
2051,70331093
2052,70333305
2053,70331923
2054,70333167
2055,123389912
2056,JAZ_209
2057,70333597
2058,70335439
2059,70334645
2060,70333899
2061,123398213
2062,69885050
2063,70334003
2064,123397431
2065,69883776
2066,77357642
2067,69884136
2068,69884566
2069,70336093
2070,JAZ_43
2071,ZJH_4
2072,69887068
2073,69884802
2074,69885528
2075,70330275
2076,123397174
2077,123148199
2078,69884340
2079,123147910
2080,70330573
