FID_	OBJECTID	Id	Permanent_	GNIS_ID	Area_m2	WALA	NLCDV0	NLCDV11	NLCDV12	NLCDV21	NLCDV22	NLCDV23	NLCDV24	NLCDV31	NLCDV41	NLCDV42	NLCDV43	NLCDV52	NLCDV71	NLCDV81	NLCDV82	NLCDV90	NLCDV95	NLCDVSUM	percentWetland
NA	1075	0	69884916	NA	93725.07899	20.80587817	0	7	0	0	0	0	0	0	19	6	57	0	0	0	0	17	0	106	0.171717171717172
NA	1076	0	69884918	1576045	619496240.9	5486.425488	0	116857	0	34052	986	133	49	63	175674	36673	114288	5715	3039	254	4509	168322	27711	688325	0.343034080648435
NA	1077	0	69884926	NA	9409.09275	7.769845477	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	9	0	11	0.818181818181818
NA	1078	0	69884928	NA	48935.67923	13.73768034	0	0	0	0	0	0	0	0	30	0	5	0	0	0	0	12	9	56	0.375
NA	1079	0	69884932	NA	169345.8229	59.22265436	0	0	0	16	0	0	0	0	22	20	35	0	0	0	0	98	0	191	0.513089005235602
NA	1080	0	69884936	1577308	623907779	5324.795052	0	117389	0	34640	1009	139	61	63	176655	37500	114805	5803	3050	254	4509	169609	27738	693224	0.34271449286688
NA	1081	0	69884946	NA	1768499.564	61.75707352	0	41	0	45	0	0	0	0	717	5	188	85	65	0	0	718	102	1966	0.425974025974026
NA	3819	0	69884950	NA	6642.770837	9.604953034	0	0	0	0	0	0	0	0	4	0	1	0	0	0	0	3	0	8	0.375
NA	1083	0	69884954	NA	77021.56808	30.74318	0	0	0	0	0	0	0	0	0	0	8	0	7	0	0	46	23	84	0.821428571428571
NA	1084	0	69884956	NA	40030.65257	14.10188161	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	34	8	45	0.933333333333333
NA	1085	0	69884962	NA	58745.6933	10.58474194	0	8	0	14	0	0	0	0	23	0	13	7	0	0	1	0	0	66	0
NA	1086	0	69884964	NA	68185.38894	41.40718623	0	0	0	14	0	0	0	0	8	12	24	0	0	0	0	17	0	75	0.226666666666667
NA	1087	0	69884974	NA	30252.83115	13.90944182	0	0	0	0	0	0	0	0	10	0	6	0	0	0	0	17	0	33	0.515151515151515
NA	1088	0	69884982	NA	2342.016614	5.757935355	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0
NA	1089	0	69884984	1578849	199147873.3	95.36258544	0	28029	0	9054	282	38	17	44	54185	13305	45695	1563	1282	40	70	60231	7436	221271	0.350167147928504
NA	1090	0	69884986	NA	94466.57053	10.94963692	0	9	0	9	0	0	0	0	1	11	31	0	0	0	0	42	0	103	0.446808510638298
NA	1091	0	69884994	1568451	29899345.2	242.9068771	0	3910	0	1906	391	94	11	0	7069	1075	2860	998	63	21	837	11331	2647	33213	0.477016005187182
NA	3820	0	69885008	NA	2643.453185	2.742421891	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	2	0	4	0.5
NA	1092	0	69885014	NA	80413.36254	1.805134267	0	50	0	0	0	0	0	0	0	0	0	6	0	0	0	5	27	88	0.842105263157895
NA	1093	0	69885016	NA	60310.36143	12.37663468	0	9	0	21	0	0	0	0	20	0	0	0	0	0	0	19	0	69	0.316666666666667
NA	1094	0	69885020	1569166	415691.6801	8.281397847	0	75	0	71	12	12	8	0	114	0	68	0	0	0	0	106	0	466	0.271099744245524
NA	1095	0	69885022	1576130	63206.23089	2.556069866	0	32	0	0	0	0	0	0	8	0	0	7	0	0	0	24	0	71	0.615384615384615
NA	1096	0	69885024	NA	37935.72914	17.45894852	0	5	0	0	0	0	0	0	8	0	1	0	0	0	0	29	0	43	0.763157894736842
NA	1097	0	69885026	1564930	37339.82227	7.961342544	0	5	0	4	0	0	0	0	12	0	0	0	0	0	0	22	0	43	0.578947368421053
NA	1098	0	69885028	NA	339460.0888	298.5078826	0	0	0	36	0	0	0	0	1	90	22	0	0	0	0	230	0	379	0.606860158311346
NA	1099	0	69885032	1576701	2278890.351	2.494215273	0	856	0	76	0	0	0	0	651	40	336	0	0	0	0	529	47	2535	0.343061346039309
NA	1100	0	69885036	1577045	1678826.158	12.90783417	0	155	0	98	0	0	0	0	935	169	233	48	0	0	0	233	0	1871	0.135780885780886
NA	1101	0	69885038	1568162	84303.82117	22.24970711	0	0	0	10	0	0	0	0	0	23	12	0	0	0	0	48	0	93	0.516129032258065
NA	1102	0	69885042	NA	25372.60728	15.68212634	0	0	0	8	0	0	0	0	6	3	0	0	0	0	0	11	0	28	0.392857142857143
NA	1103	0	69885050	1561574	624874147.3	5573.969133	0	117597	0	34801	1035	139	61	63	176871	37595	114865	5832	3050	254	4509	169878	27749	694299	0.342684783475695
NA	1104	0	69885052	1572213	618938350.2	233.3366847	0	116697	0	33979	970	107	40	63	175652	36569	114237	5707	3034	254	4509	168187	27711	687716	0.34306739355433
NA	1105	0	69885054	1569260	178889.0463	3.364612361	0	67	0	52	0	0	0	0	21	0	18	5	0	0	0	36	0	199	0.272727272727273
NA	1106	0	69885060	NA	4557.262975	1.527968845	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	5	1
NA	1107	0	69885062	1574930	585513121.6	1049.833142	0	110340	0	31970	905	94	32	63	165406	31854	109577	4710	2920	254	4290	161440	26716	650571	0.348288047150201
NA	1108	0	69885064	1571767	299921.6145	12.60083378	0	25	0	12	0	0	0	0	232	0	14	5	0	0	0	47	0	335	0.151612903225806
NA	1109	0	69885066	1565455	393339.5049	5.334592669	0	94	0	0	0	0	0	0	117	26	17	9	0	0	0	175	0	438	0.508720930232558
NA	1110	0	69885070	1567315	247646.2155	16.81102496	0	17	0	3	0	0	0	0	87	10	17	0	0	0	0	138	0	272	0.541176470588235
NA	1111	0	69885072	1570824	1144967.983	11.00260208	0	126	0	44	0	0	0	0	442	8	43	38	0	0	0	545	30	1276	0.5
