YEARS	datetime	signal_co2	rcp_co2	co2	orig_datetime
2038	2038-10-01	-2.17399999999998	480.50799	478.33399	1979-10-01
2038	2038-10-02	-2.50599999999997	480.50799	478.00199	1979-10-02
2038	2038-10-03	-2.53999999999996	480.50799	477.96799	1979-10-03
2038	2038-10-04	-2.95299999999997	480.50799	477.55499	1979-10-04
2038	2038-10-05	-2.89299999999997	480.50799	477.61499	1979-10-05
2038	2038-10-06	-2.43699999999995	480.50799	478.07099	1979-10-06
2038	2038-10-07	-2.00899999999996	480.50799	478.49899	1979-10-07
2038	2038-10-08	-2.01549999999997	480.50799	478.49249	1979-10-08
2038	2038-10-09	-2.02199999999993	480.50799	478.48599	1979-10-09
2038	2038-10-10	-2.02849999999995	480.50799	478.47949	1979-10-10
2038	2038-10-11	-2.03499999999997	480.50799	478.47299	1979-10-11
2038	2038-10-12	-2.20299999999997	480.50799	478.30499	1979-10-12
2038	2038-10-13	-2.43699999999995	480.50799	478.07099	1979-10-13
2038	2038-10-14	-2.53399999999999	480.50799	477.97399	1979-10-14
2038	2038-10-15	-2.50599999999997	480.50799	478.00199	1979-10-15
2038	2038-10-16	-2.47899999999998	480.50799	478.02899	1979-10-16
2038	2038-10-17	-2.322	480.50799	478.18599	1979-10-17
2038	2038-10-18	-2.25799999999998	480.50799	478.24999	1979-10-18
2038	2038-10-19	-2.45299999999997	480.50799	478.05499	1979-10-19
2038	2038-10-20	-2.58299999999997	480.50799	477.92499	1979-10-20
2038	2038-10-21	-2.69799999999998	480.50799	477.80999	1979-10-21
2038	2038-10-22	-2.74299999999999	480.50799	477.76499	1979-10-22
2038	2038-10-23	-2.77199999999999	480.50799	477.73599	1979-10-23
2038	2038-10-24	-2.34199999999998	480.50799	478.16599	1979-10-24
2038	2038-10-25	-2.33499999999998	480.50799	478.17299	1979-10-25
2038	2038-10-26	-2.24099999999999	480.50799	478.26699	1979-10-26
2038	2038-10-27	-2.25700000000001	480.50799	478.25099	1979-10-27
2038	2038-10-28	-2.06399999999996	480.50799	478.44399	1979-10-28
2038	2038-10-29	-1.98599999999999	480.50799	478.52199	1979-10-29
2038	2038-10-30	-2.08699999999999	480.50799	478.42099	1979-10-30
2038	2038-10-31	-1.911	480.50799	478.59699	1979-10-31
2038	2038-11-01	-2.14499999999998	480.50799	478.36299	1979-11-01
2038	2038-11-02	-2.09699999999998	480.50799	478.41099	1979-11-02
2038	2038-11-03	-1.92499999999995	480.50799	478.58299	1979-11-03
2038	2038-11-04	-1.70599999999996	480.50799	478.80199	1979-11-04
2038	2038-11-05	-1.79899999999998	480.50799	478.70899	1979-11-05
2038	2038-11-06	-1.99099999999999	480.50799	478.51699	1979-11-06
2038	2038-11-07	-1.94499999999999	480.50799	478.56299	1979-11-07
2038	2038-11-08	-1.75099999999998	480.50799	478.75699	1979-11-08
2038	2038-11-09	-1.45699999999999	480.50799	479.05099	1979-11-09
2038	2038-11-10	-1.423	480.50799	479.08499	1979-11-10
2038	2038-11-11	-1.94	480.50799	478.56799	1979-11-11
2038	2038-11-12	-1.65699999999998	480.50799	478.85099	1979-11-12
2038	2038-11-13	-1.67599999999999	480.50799	478.83199	1979-11-13
2038	2038-11-14	-1.19299999999998	480.50799	479.31499	1979-11-14
2038	2038-11-15	-1.39699999999999	480.50799	479.11099	1979-11-15
2038	2038-11-16	-0.85899999999998	480.50799	479.64899	1979-11-16
2038	2038-11-17	-0.637	480.50799	479.87099	1979-11-17
2038	2038-11-18	-0.577999999999975	480.50799	479.92999	1979-11-18
2038	2038-11-19	-0.736999999999966	480.50799	479.77099	1979-11-19
2038	2038-11-20	-1.06399999999996	480.50799	479.44399	1979-11-20
2038	2038-11-21	-1.10499999999996	480.50799	479.40299	1979-11-21
2038	2038-11-22	-0.909999999999968	480.50799	479.59799	1979-11-22
2038	2038-11-23	-0.887	480.50799	479.62099	1979-11-23
2038	2038-11-24	-0.856999999999971	480.50799	479.65099	1979-11-24
2038	2038-11-25	-0.651999999999987	480.50799	479.85599	1979-11-25
2038	2038-11-26	-0.664999999999964	480.50799	479.84299	1979-11-26
